site_name,population_id,admit_year,age_band,sex_group,race_group,ethnicity_group,hospitalizations,deaths,mortality_pct
UCMC,all_icu_adult,2019,18-39,Male,NHPI,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2019,18-39,Male,Other/Unknown,Hispanic or Latino,33,<10,
UCMC,all_icu_adult,2019,18-39,Male,Other/Unknown,Not Hispanic or Latino,12,<10,
UCMC,all_icu_adult,2019,18-39,Male,Other/Unknown,Unknown,10,<10,
UCMC,all_icu_adult,2019,18-39,Male,White,Hispanic or Latino,15,<10,
UCMC,all_icu_adult,2019,18-39,Male,White,Not Hispanic or Latino,95,<10,
UCMC,all_icu_adult,2019,40-64,Female,AIAN,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2019,40-64,Female,Asian,Not Hispanic or Latino,14,<10,
UCMC,all_icu_adult,2019,40-64,Female,Black,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2019,40-64,Female,Black,Not Hispanic or Latino,710,73,
UCMC,all_icu_adult,2019,40-64,Female,Black,Unknown,10,<10,
UCMC,all_icu_adult,2019,40-64,Female,NHPI,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2019,40-64,Female,NHPI,Not Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2019,40-64,Female,Other/Unknown,Hispanic or Latino,37,<10,
UCMC,all_icu_adult,2019,40-64,Female,Other/Unknown,Not Hispanic or Latino,24,<10,
UCMC,all_icu_adult,2019,40-64,Female,Other/Unknown,Unknown,12,<10,
UCMC,all_icu_adult,2019,40-64,Female,White,Hispanic or Latino,23,<10,
UCMC,all_icu_adult,2019,40-64,Female,White,Not Hispanic or Latino,217,25,
UCMC,all_icu_adult,2019,40-64,Female,White,Unknown,<10,<10,
UCMC,all_icu_adult,2019,40-64,Male,AIAN,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2019,40-64,Male,AIAN,Not Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2019,40-64,Male,Asian,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2019,40-64,Male,Asian,Not Hispanic or Latino,19,<10,
UCMC,all_icu_adult,2019,40-64,Male,Asian,Unknown,<10,<10,
UCMC,all_icu_adult,2019,40-64,Male,Black,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2019,40-64,Male,Black,Not Hispanic or Latino,795,88,
UCMC,all_icu_adult,2019,40-64,Male,Black,Unknown,<10,<10,
UCMC,all_icu_adult,2019,40-64,Male,Other/Unknown,Hispanic or Latino,46,<10,
UCMC,all_icu_adult,2019,40-64,Male,Other/Unknown,Not Hispanic or Latino,35,<10,
UCMC,all_icu_adult,2019,40-64,Male,Other/Unknown,Unknown,29,11,
