site_name,population_id,county_fips,admit_year,age_band,sex_group,hospitalizations,deaths,mortality_pct
UCMC,sepsis_ase_icu,17031,2022,65-74,Female,151,57,
UCMC,sepsis_ase_icu,17031,2022,65-74,Male,166,64,
UCMC,sepsis_ase_icu,17031,2022,75+,Female,138,59,
UCMC,sepsis_ase_icu,17031,2022,75+,Male,114,59,
UCMC,sepsis_ase_icu,17031,2023,18-39,Female,70,13,
UCMC,sepsis_ase_icu,17031,2023,18-39,Male,113,27,
UCMC,sepsis_ase_icu,17031,2023,40-64,Female,218,71,
UCMC,sepsis_ase_icu,17031,2023,40-64,Male,278,88,
UCMC,sepsis_ase_icu,17031,2023,65-74,Female,149,58,
UCMC,sepsis_ase_icu,17031,2023,65-74,Male,164,59,
UCMC,sepsis_ase_icu,17031,2023,75+,Female,147,69,
UCMC,sepsis_ase_icu,17031,2023,75+,Male,103,40,
UCMC,sepsis_ase_icu,17031,2024,18-39,Female,57,<10,
UCMC,sepsis_ase_icu,17031,2024,18-39,Male,119,30,
UCMC,sepsis_ase_icu,17031,2024,40-64,Female,200,65,
UCMC,sepsis_ase_icu,17031,2024,40-64,Male,279,92,
UCMC,sepsis_ase_icu,17031,2024,65-74,Female,163,54,
UCMC,sepsis_ase_icu,17031,2024,65-74,Male,178,74,
UCMC,sepsis_ase_icu,17031,2024,75+,Female,144,65,
UCMC,sepsis_ase_icu,17031,2024,75+,Male,124,49,
UCMC,sepsis_ase_icu,17033,2019,18-39,Female,<10,<10,
UCMC,sepsis_ase_icu,17033,2023,40-64,Male,<10,<10,
UCMC,sepsis_ase_icu,17035,2018,40-64,Male,<10,<10,
UCMC,sepsis_ase_icu,17035,2019,40-64,Male,<10,<10,
UCMC,sepsis_ase_icu,17037,2018,40-64,Male,<10,<10,
UCMC,sepsis_ase_icu,17037,2019,40-64,Male,<10,<10,
UCMC,sepsis_ase_icu,17037,2020,40-64,Male,<10,<10,
UCMC,sepsis_ase_icu,17037,2020,65-74,Female,<10,<10,
UCMC,sepsis_ase_icu,17037,2021,18-39,Female,<10,<10,
UCMC,sepsis_ase_icu,17037,2021,18-39,Male,<10,<10,
UCMC,sepsis_ase_icu,17037,2022,18-39,Female,<10,<10,
UCMC,sepsis_ase_icu,17037,2022,18-39,Male,<10,<10,
UCMC,sepsis_ase_icu,17037,2022,40-64,Male,<10,<10,
UCMC,sepsis_ase_icu,17037,2023,18-39,Female,<10,<10,
UCMC,sepsis_ase_icu,17037,2023,40-64,Male,<10,<10,
UCMC,sepsis_ase_icu,17037,2024,40-64,Female,<10,<10,
UCMC,sepsis_ase_icu,17037,2024,65-74,Female,<10,<10,
UCMC,sepsis_ase_icu,17039,2020,40-64,Male,<10,<10,
UCMC,sepsis_ase_icu,17043,2018,18-39,Female,<10,<10,
UCMC,sepsis_ase_icu,17043,2018,18-39,Male,<10,<10,
UCMC,sepsis_ase_icu,17043,2018,40-64,Female,<10,<10,
UCMC,sepsis_ase_icu,17043,2018,40-64,Male,10,<10,
