site_name,population_id,admit_year,age_band,sex_group,race_group,ethnicity_group,hospitalizations,deaths,mortality_pct
UCMC,sepsis_ase_icu,2023,65-74,Female,AIAN,Hispanic or Latino,1,0,0.0
UCMC,sepsis_ase_icu,2023,65-74,Female,Asian,Not Hispanic or Latino,1,3,3.0
UCMC,sepsis_ase_icu,2023,65-74,Female,Black,Not Hispanic or Latino,116,46,0.39655172413793105
UCMC,sepsis_ase_icu,2023,65-74,Female,Black,Unknown,0,0,
UCMC,sepsis_ase_icu,2023,65-74,Female,Other/Unknown,Hispanic or Latino,6,2,0.3333333333333333
UCMC,sepsis_ase_icu,2023,65-74,Female,Other/Unknown,Unknown,12,2,0.16666666666666666
UCMC,sepsis_ase_icu,2023,65-74,Female,White,Hispanic or Latino,0,4,
UCMC,sepsis_ase_icu,2023,65-74,Female,White,Not Hispanic or Latino,51,21,0.4117647058823529
UCMC,sepsis_ase_icu,2023,65-74,Female,White,Unknown,1,0,0.0
UCMC,sepsis_ase_icu,2023,65-74,Male,Asian,Not Hispanic or Latino,4,0,0.0
UCMC,sepsis_ase_icu,2023,65-74,Male,Black,Not Hispanic or Latino,117,38,0.3247863247863248
UCMC,sepsis_ase_icu,2023,65-74,Male,NHPI,Hispanic or Latino,4,0,0.0
UCMC,sepsis_ase_icu,2023,65-74,Male,Other/Unknown,Hispanic or Latino,3,0,0.0
UCMC,sepsis_ase_icu,2023,65-74,Male,Other/Unknown,Not Hispanic or Latino,7,3,0.42857142857142855
UCMC,sepsis_ase_icu,2023,65-74,Male,Other/Unknown,Unknown,13,6,0.46153846153846156
UCMC,sepsis_ase_icu,2023,65-74,Male,White,Hispanic or Latino,7,2,0.2857142857142857
UCMC,sepsis_ase_icu,2023,65-74,Male,White,Not Hispanic or Latino,85,27,0.3176470588235294
UCMC,sepsis_ase_icu,2023,65-74,Male,White,Unknown,0,0,
UCMC,sepsis_ase_icu,2023,75+,Female,Asian,Not Hispanic or Latino,5,1,0.2
UCMC,sepsis_ase_icu,2023,75+,Female,Black,Not Hispanic or Latino,119,57,0.4789915966386555
UCMC,sepsis_ase_icu,2023,75+,Female,Other/Unknown,Not Hispanic or Latino,0,0,
UCMC,sepsis_ase_icu,2023,75+,Female,Other/Unknown,Unknown,6,0,0.0
UCMC,sepsis_ase_icu,2023,75+,Female,White,Hispanic or Latino,4,0,0.0
UCMC,sepsis_ase_icu,2023,75+,Female,White,Not Hispanic or Latino,36,13,0.3611111111111111
UCMC,sepsis_ase_icu,2023,75+,Male,AIAN,Not Hispanic or Latino,0,0,
UCMC,sepsis_ase_icu,2023,75+,Male,Asian,Hispanic or Latino,0,0,
UCMC,sepsis_ase_icu,2023,75+,Male,Asian,Not Hispanic or Latino,4,1,0.25
UCMC,sepsis_ase_icu,2023,75+,Male,Black,Not Hispanic or Latino,71,30,0.4225352112676056
UCMC,sepsis_ase_icu,2023,75+,Male,Other/Unknown,Hispanic or Latino,4,0,0.0
UCMC,sepsis_ase_icu,2023,75+,Male,Other/Unknown,Not Hispanic or Latino,1,0,0.0
UCMC,sepsis_ase_icu,2023,75+,Male,Other/Unknown,Unknown,6,4,0.6666666666666666
UCMC,sepsis_ase_icu,2023,75+,Male,White,Hispanic or Latino,2,3,1.5
UCMC,sepsis_ase_icu,2023,75+,Male,White,Not Hispanic or Latino,35,10,0.2857142857142857
UCMC,sepsis_ase_icu,2023,75+,Male,White,Unknown,0,1,
UCMC,sepsis_ase_icu,2024,18-39,Female,Asian,Not Hispanic or Latino,3,0,0.0
UCMC,sepsis_ase_icu,2024,18-39,Female,Black,Not Hispanic or Latino,44,9,0.20454545454545456
UCMC,sepsis_ase_icu,2024,18-39,Female,Other/Unknown,Hispanic or Latino,8,2,0.25
UCMC,sepsis_ase_icu,2024,18-39,Female,Other/Unknown,Not Hispanic or Latino,1,0,0.0
UCMC,sepsis_ase_icu,2024,18-39,Female,Other/Unknown,Unknown,4,0,0.0
UCMC,sepsis_ase_icu,2024,18-39,Female,White,Hispanic or Latino,3,2,0.6666666666666666
