site_name,population_id,admit_year,state_fips,hospitalizations,deaths,missing_county_hospitalizations,mortality_pct
UCMC,all_icu_adult,2022,21,<10,<10,128,
UCMC,all_icu_adult,2022,22,<10,<10,64,
UCMC,all_icu_adult,2022,23,<10,<10,128,
UCMC,all_icu_adult,2022,24,<10,<10,192,
UCMC,all_icu_adult,2022,25,<10,<10,192,
UCMC,all_icu_adult,2022,26,31,<10,960,
UCMC,all_icu_adult,2022,27,<10,<10,192,
UCMC,all_icu_adult,2022,28,<10,<10,192,
UCMC,all_icu_adult,2022,29,10,<10,576,
UCMC,all_icu_adult,2022,30,<10,<10,64,
UCMC,all_icu_adult,2022,32,<10,<10,64,
UCMC,all_icu_adult,2022,33,<10,<10,64,
UCMC,all_icu_adult,2022,34,<10,<10,64,
UCMC,all_icu_adult,2022,36,<10,<10,192,
UCMC,all_icu_adult,2022,37,<10,<10,64,
UCMC,all_icu_adult,2022,38,<10,<10,64,
UCMC,all_icu_adult,2022,39,10,<10,512,
UCMC,all_icu_adult,2022,41,<10,<10,64,
UCMC,all_icu_adult,2022,42,<10,<10,256,
UCMC,all_icu_adult,2022,45,<10,<10,128,
UCMC,all_icu_adult,2022,46,<10,<10,64,
UCMC,all_icu_adult,2022,47,<10,<10,192,
UCMC,all_icu_adult,2022,48,13,<10,512,
UCMC,all_icu_adult,2022,49,<10,<10,64,
UCMC,all_icu_adult,2022,51,<10,<10,64,
UCMC,all_icu_adult,2022,53,<10,<10,128,
UCMC,all_icu_adult,2022,55,30,<10,1024,
UCMC,all_icu_adult,2023,01,<10,<10,126,
UCMC,all_icu_adult,2023,02,<10,<10,63,
UCMC,all_icu_adult,2023,04,<10,<10,126,
UCMC,all_icu_adult,2023,05,<10,<10,252,
UCMC,all_icu_adult,2023,06,<10,<10,315,
UCMC,all_icu_adult,2023,08,<10,<10,126,
UCMC,all_icu_adult,2023,12,11,<10,630,
UCMC,all_icu_adult,2023,13,<10,<10,252,
UCMC,all_icu_adult,2023,15,<10,<10,63,
UCMC,all_icu_adult,2023,16,<10,<10,63,
UCMC,all_icu_adult,2023,17,4921,748,2898,
UCMC,all_icu_adult,2023,18,752,79,1575,
UCMC,all_icu_adult,2023,19,<10,<10,315,
UCMC,all_icu_adult,2023,20,<10,<10,63,
UCMC,all_icu_adult,2023,21,<10,<10,63,
UCMC,all_icu_adult,2023,22,<10,<10,126,
UCMC,all_icu_adult,2023,24,<10,<10,189,
UCMC,all_icu_adult,2023,25,<10,<10,63,
UCMC,all_icu_adult,2023,26,32,<10,882,
UCMC,all_icu_adult,2023,27,<10,<10,126,
UCMC,all_icu_adult,2023,28,<10,<10,189,
UCMC,all_icu_adult,2023,29,10,<10,378,
UCMC,all_icu_adult,2023,32,<10,<10,63,
UCMC,all_icu_adult,2023,34,<10,<10,63,
UCMC,all_icu_adult,2023,36,<10,<10,189,
UCMC,all_icu_adult,2023,37,<10,<10,126,
UCMC,all_icu_adult,2023,39,<10,<10,441,
UCMC,all_icu_adult,2023,41,<10,<10,126,
UCMC,all_icu_adult,2023,42,<10,<10,63,
UCMC,all_icu_adult,2023,45,<10,<10,189,
UCMC,all_icu_adult,2023,47,<10,<10,252,
UCMC,all_icu_adult,2023,48,<10,<10,252,
UCMC,all_icu_adult,2023,49,<10,<10,63,
UCMC,all_icu_adult,2023,51,<10,<10,252,
UCMC,all_icu_adult,2023,53,<10,<10,126,
UCMC,all_icu_adult,2023,55,25,<10,1008,
UCMC,all_icu_adult,2024,01,<10,<10,85,
UCMC,all_icu_adult,2024,02,<10,<10,255,
UCMC,all_icu_adult,2024,04,<10,<10,85,
UCMC,all_icu_adult,2024,05,<10,<10,255,
UCMC,all_icu_adult,2024,06,10,<10,510,
UCMC,all_icu_adult,2024,08,<10,<10,170,
UCMC,all_icu_adult,2024,12,12,<10,850,
UCMC,all_icu_adult,2024,13,<10,<10,85,
UCMC,all_icu_adult,2024,16,<10,<10,85,
UCMC,all_icu_adult,2024,17,5144,747,3825,
UCMC,all_icu_adult,2024,18,779,93,2125,
UCMC,all_icu_adult,2024,19,<10,<10,255,
UCMC,all_icu_adult,2024,21,<10,<10,255,
UCMC,all_icu_adult,2024,24,<10,<10,340,
UCMC,all_icu_adult,2024,25,<10,<10,85,
UCMC,all_icu_adult,2024,26,30,<10,1275,
UCMC,all_icu_adult,2024,27,<10,<10,340,
UCMC,all_icu_adult,2024,28,<10,<10,170,
UCMC,all_icu_adult,2024,29,<10,<10,425,
UCMC,all_icu_adult,2024,32,<10,<10,85,
UCMC,all_icu_adult,2024,34,<10,<10,85,
UCMC,all_icu_adult,2024,35,<10,<10,85,
UCMC,all_icu_adult,2024,37,<10,<10,340,
UCMC,all_icu_adult,2024,39,<10,<10,595,
UCMC,all_icu_adult,2024,40,<10,<10,340,
UCMC,all_icu_adult,2024,41,<10,<10,170,
UCMC,all_icu_adult,2024,42,<10,<10,255,
UCMC,all_icu_adult,2024,44,<10,<10,85,
UCMC,all_icu_adult,2024,45,<10,<10,340,
UCMC,all_icu_adult,2024,46,<10,<10,85,
UCMC,all_icu_adult,2024,47,<10,<10,255,
UCMC,all_icu_adult,2024,48,<10,<10,510,
UCMC,all_icu_adult,2024,51,<10,<10,170,
UCMC,all_icu_adult,2024,53,<10,<10,85,
UCMC,all_icu_adult,2024,55,37,<10,1615,
UCMC,all_icu_adult,2024,56,<10,<10,170,
UCMC,all_icu_adult,2025,17,<10,<10,<10,
UCMC,all_icu_adult,2025,18,<10,<10,<10,
